drink,caffeine_mg,calories,sugar_g,price_usd
Espresso Solo,75,5,0,2.5
Espresso Doppio,150,10,0,3.25
Brewed Coffee,330,5,0,2.75
Caffè Americano,225,15,0,3.0
Cappuccino,150,120,10,4.0
Caffè Latte,150,190,17,4.5
Vanilla Latte,150,250,35,5.0
Caramel Macchiato,150,240,32,5.25
Caffè Mocha,175,260,34,5.5
White Chocolate Mocha,150,400,58,6.0
Hot Chocolate,25,290,41,4.25
Chai Tea Latte,95,240,42,4.75
Green Tea Latte,80,350,55,5.25
Iced Coffee,165,90,21,3.5
Cold Brew,200,5,0,3.75
Caramel Frappuccino,100,280,59,5.75
Mocha Frappuccino,110,290,58,5.75
Java Chip Frappuccino,110,340,62,6.0
Strawberry Frappuccino,0,260,52,5.5
Vanilla Bean Frappuccino,0,240,55,5.25
